field_id,soil_type,is_irrigated,peak_ndvi,avg_ndvi,avg_ndwi,min_ndwi,min_soil_moisture,avg_soil_moisture,total_precip_mm,avg_temp_c,yield_kg_per_da
1,2,1,0.8227261021669033,0.4050618073229253,0.21023548980678433,-0.15300472410183988,15.313311714477797,24.627745179455207,58.72319447462765,25.63869445841552,598.7019629061864
2,2,1,0.865741692074849,0.4643427041929239,0.29929194057456987,0.11223708014397452,14.838532630500048,24.76159107917797,49.73198525393216,25.717688874547832,505.96753919146045
3,3,1,0.5739533096143237,0.26569928091923734,-0.016954813287229965,-0.4,11.016332679386965,22.585336741598475,25.384180352373683,26.998495347262054,306.57851134123734
4,3,1,0.6040760241909439,0.27598608289143034,-0.01938018892686135,-0.4,11.106366561324737,23.02606121790376,47.27744868341253,28.112254769838067,325.7810631126979
5,2,1,0.8137919956256949,0.3929343448245009,0.20161357193341875,-0.1604073050982845,12.672667908405883,22.9746844118635,31.15773298329742,25.849871444224153,484.3327607831984
6,2,1,0.7397996720229051,0.3759567583782529,0.1669999456820888,-0.2001598567152402,13.74630975841499,24.890970515018846,78.96491712361863,26.10018276156586,425.17591223803373
7,2,0,0.7573474050944399,0.3584253631995322,0.14682591998119027,-0.1988131621021857,10.977557907370581,18.330788872115534,34.435985160956484,25.831316446567634,341.517369361325
8,2,1,0.8481111439913894,0.46082944276210486,0.2951938059443117,0.0783987729863423,13.777655474772775,24.00994140288983,34.45319970053925,25.315762327369523,540.7980750293013
9,1,0,0.845576053365484,0.46132081188404805,0.29118430406352086,0.11420934527522418,14.407666341998512,19.834972758345636,49.88389460607613,25.693167306901564,358.98189816072625
10,2,0,0.8717801996356954,0.4624510896322371,0.2886854217633891,0.08819869677865817,14.196281801302105,18.391042584662586,30.397375896709637,26.053279777096197,393.7651494335802
11,2,1,0.8386564609022451,0.457818475846494,0.28760741424692954,0.09236703394551862,16.69003966924832,24.027623836316685,51.10754012723869,25.653749237523993,637.5890285383389
12,2,0,0.8361727321814573,0.41075557671249924,0.23231778532027403,-0.10749351528158674,14.70087616227239,19.211141391409342,50.77067249235966,25.85959780804822,480.33457949623863
13,2,1,0.8511329984979421,0.450584234629789,0.2931599317096306,0.11967434402725498,14.114181021892373,23.4966375675371,32.845741130807504,25.562704252406444,507.1134252411823
14,1,0,0.8572854681160887,0.45192956848055116,0.2962583770008106,0.10688375410014099,11.754140832566755,19.274227915789485,62.9798002767861,25.770352363704927,514.6940794695957
15,2,0,0.5909732813171332,0.27038629954407883,-0.021602435959408785,-0.4,11.673818783982647,17.282184422672508,41.83276703169209,27.76210711422913,241.38825277859195
16,3,0,0.8332874798668753,0.4544902172248716,0.29024267583031477,0.09810120084843323,14.524517902108801,20.291863169445033,74.30807908795133,26.071374009026385,492.71331149849937
17,2,0,0.7628579526038453,0.3794153259371605,0.18305290880180752,-0.24125190606287658,13.537058093133515,19.873579963207053,64.85339540083825,26.010855462189177,453.73938288336467
18,3,0,0.6967238015221566,0.31803386536940925,0.045547133792583586,-0.4,11.374670051674748,19.89580279705988,87.97168709674074,28.122261332146458,368.3261292788149
19,1,1,0.687319701852913,0.3200251910100695,0.05630147282067255,-0.4,14.127751064286869,23.008475566632615,47.97959911044761,27.57214047971873,388.587751813641
